canonicalCommunity,canonicalPlaceId,membershipCountyIds,membershipCount,crossingAuthorityAvailable,crossingAuthorityReason,canonicalCrossingIdentityCount,resolvedCrossingRecordCount,crossingCountyIds,unresolvedCrossingIds,duplicateCrossingIds,missingCrossingMemberships,crossingAuthorityState,crossingIdentityParityPass,crossingMembershipParityPass,crossingAuthorityPass
Alice Acres,4801858,jim-wells-tx,1,true,,0,0,jim-wells-tx,,,,AVAILABLE_EMPTY,true,true,true
Allen,4801924,collin-tx,1,true,,0,0,collin-tx,,,,AVAILABLE_EMPTY,true,true,true
Allison,4802032,wheeler-tx,1,true,,0,0,wheeler-tx,,,,AVAILABLE_EMPTY,true,true,true
Alma,4802044,ellis-tx,1,true,,5,5,ellis-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Alpine,4802104,brewster-tx,1,true,,11,11,brewster-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Alto,4802188,cherokee-tx,1,true,,0,0,cherokee-tx,,,,AVAILABLE_EMPTY,true,true,true
Alto Bonito Heights,4802194,starr-tx,1,true,,0,0,starr-tx,,,,AVAILABLE_EMPTY,true,true,true
Alton,4802212,hidalgo-tx,1,true,,0,0,hidalgo-tx,,,,AVAILABLE_EMPTY,true,true,true
Alvarado,4802260,johnson-tx,1,true,,17,17,johnson-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Alvin,4802272,brazoria-tx,1,true,,10,10,brazoria-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Alvord,4802284,wise-tx,1,true,,3,3,wise-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Amada Acres,4802286,starr-tx,1,true,,1,1,starr-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Amargosa,4802290,jim-wells-tx,1,true,,0,0,jim-wells-tx,,,,AVAILABLE_EMPTY,true,true,true
Amarillo,4803000,potter-tx|randall-tx,2,true,,84,84,potter-tx|randall-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Amaya,4803008,zavala-tx,1,true,,0,0,zavala-tx,,,,AVAILABLE_EMPTY,true,true,true
Ames,4803072,liberty-tx,1,true,,2,2,liberty-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Amherst,4803084,lamb-tx,1,true,,1,1,lamb-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Amistad,4803096,val-verde-tx,1,true,,0,0,val-verde-tx,,,,AVAILABLE_EMPTY,true,true,true
Anacua,4803126,starr-tx,1,true,,0,0,starr-tx,,,,AVAILABLE_EMPTY,true,true,true
Anahuac,4803144,chambers-tx,1,true,,0,0,chambers-tx,,,,AVAILABLE_EMPTY,true,true,true
Anderson,4803192,grimes-tx,1,true,,0,0,grimes-tx,,,,AVAILABLE_EMPTY,true,true,true
Andrews,4803216,andrews-tx,1,true,,0,0,andrews-tx,,,,AVAILABLE_EMPTY,true,true,true
Angleton,4803264,brazoria-tx,1,true,,12,12,brazoria-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Angus,4803288,navarro-tx,1,true,,4,4,navarro-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Anna,4803300,collin-tx,1,true,,6,6,collin-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Annetta,4803336,parker-tx,1,true,,2,2,parker-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Annetta North,4803340,parker-tx,1,true,,6,6,parker-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Annetta South,4803342,parker-tx,1,true,,0,0,parker-tx,,,,AVAILABLE_EMPTY,true,true,true
Annona,4803360,red-river-tx,1,true,,0,0,red-river-tx,,,,AVAILABLE_EMPTY,true,true,true
Anson,4803372,jones-tx,1,true,,0,0,jones-tx,,,,AVAILABLE_EMPTY,true,true,true
Anthony,4803432,el-paso-tx,1,true,,3,3,el-paso-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Anton,4803540,hockley-tx,1,true,,3,3,hockley-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Appleby,4803564,nacogdoches-tx,1,true,,2,2,nacogdoches-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Aquilla,4803588,hill-tx,1,true,,0,0,hill-tx,,,,AVAILABLE_EMPTY,true,true,true
Aransas Pass,4803600,aransas-tx|nueces-tx|san-patricio-tx,3,true,,7,7,aransas-tx|nueces-tx|san-patricio-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Archer City,4803696,archer-tx,1,true,,0,0,archer-tx,,,,AVAILABLE_EMPTY,true,true,true
Arcola,4803708,fort-bend-tx,1,true,,8,8,fort-bend-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Argyle,4803768,denton-tx,1,true,,5,5,denton-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Arlington,4804000,tarrant-tx,1,true,,41,41,tarrant-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Arp,4804156,smith-tx,1,true,,5,5,smith-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Arroyo Colorado Estates,4804174,cameron-tx,1,true,,0,0,cameron-tx,,,,AVAILABLE_EMPTY,true,true,true
Arroyo Gardens,4804176,cameron-tx,1,true,,0,0,cameron-tx,,,,AVAILABLE_EMPTY,true,true,true
Asherton,4804300,dimmit-tx,1,true,,0,0,dimmit-tx,,,,AVAILABLE_EMPTY,true,true,true
Aspermont,4804408,stonewall-tx,1,true,,0,0,stonewall-tx,,,,AVAILABLE_EMPTY,true,true,true
Atascocita,4804462,harris-tx,1,true,,2,2,harris-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Athens,4804504,henderson-tx,1,true,,24,24,henderson-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Atlanta,4804516,cass-tx,1,true,,5,5,cass-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Aubrey,4804600,denton-tx,1,true,,4,4,denton-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Aurora,4804672,wise-tx,1,true,,0,0,wise-tx,,,,AVAILABLE_EMPTY,true,true,true
Austin,4805000,bastrop-tx|hays-tx|travis-tx|williamson-tx,4,true,,154,154,bastrop-tx|hays-tx|travis-tx|williamson-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Austwell,4805036,refugio-tx,1,true,,0,0,refugio-tx,,,,AVAILABLE_EMPTY,true,true,true
Avery,4805072,red-river-tx,1,true,,0,0,red-river-tx,,,,AVAILABLE_EMPTY,true,true,true
Avinger,4805084,cass-tx,1,true,,3,3,cass-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Azle,4805168,parker-tx|tarrant-tx,2,true,,0,0,parker-tx|tarrant-tx,,,,AVAILABLE_EMPTY,true,true,true
Bacliff,4805180,galveston-tx,1,true,,0,0,galveston-tx,,,,AVAILABLE_EMPTY,true,true,true
Bailey,4805264,fannin-tx,1,true,,0,0,fannin-tx,,,,AVAILABLE_EMPTY,true,true,true
Bailey's Prairie,4805288,brazoria-tx,1,true,,0,0,brazoria-tx,,,,AVAILABLE_EMPTY,true,true,true
Baird,4805336,callahan-tx,1,true,,2,2,callahan-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Balch Springs,4805372,dallas-tx,1,true,,0,0,dallas-tx,,,,AVAILABLE_EMPTY,true,true,true
Balcones Heights,4805384,bexar-tx,1,true,,0,0,bexar-tx,,,,AVAILABLE_EMPTY,true,true,true
Ballinger,4805456,runnels-tx,1,true,,6,6,runnels-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Balmorhea,4805468,reeves-tx,1,true,,0,0,reeves-tx,,,,AVAILABLE_EMPTY,true,true,true
B and E,4805520,starr-tx,1,true,,0,0,starr-tx,,,,AVAILABLE_EMPTY,true,true,true
Bandera,4805528,bandera-tx,1,true,,0,0,bandera-tx,,,,AVAILABLE_EMPTY,true,true,true
Bangs,4805552,brown-tx,1,true,,5,5,brown-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Banquete,4805576,nueces-tx,1,true,,4,4,nueces-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Bardwell,4805612,ellis-tx,1,true,,2,2,ellis-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Barksdale,4805648,edwards-tx,1,true,,0,0,edwards-tx,,,,AVAILABLE_EMPTY,true,true,true
Barrera,4805690,starr-tx,1,true,,0,0,starr-tx,,,,AVAILABLE_EMPTY,true,true,true
Barrett,4805696,harris-tx,1,true,,0,0,harris-tx,,,,AVAILABLE_EMPTY,true,true,true
Barry,4805708,navarro-tx,1,true,,0,0,navarro-tx,,,,AVAILABLE_EMPTY,true,true,true
Barstow,4805720,ward-tx,1,true,,1,1,ward-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Bartlett,4805732,bell-tx|williamson-tx,2,true,,4,4,bell-tx|williamson-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Barton Creek,4805750,travis-tx,1,true,,0,0,travis-tx,,,,AVAILABLE_EMPTY,true,true,true
Bartonville,4805768,denton-tx,1,true,,0,0,denton-tx,,,,AVAILABLE_EMPTY,true,true,true
Bastrop,4805864,bastrop-tx,1,true,,16,16,bastrop-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Batesville,4805924,zavala-tx,1,true,,0,0,zavala-tx,,,,AVAILABLE_EMPTY,true,true,true
Bay City,4805984,matagorda-tx,1,true,,25,25,matagorda-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Bayou Vista,4806060,galveston-tx,1,true,,0,0,galveston-tx,,,,AVAILABLE_EMPTY,true,true,true
Bayside,4806104,refugio-tx,1,true,,0,0,refugio-tx,,,,AVAILABLE_EMPTY,true,true,true
Baytown,4806128,chambers-tx|harris-tx,2,true,,58,58,chambers-tx|harris-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Bayview,4806140,cameron-tx,1,true,,0,0,cameron-tx,,,,AVAILABLE_EMPTY,true,true,true
Beach City,4806200,chambers-tx,1,true,,0,0,chambers-tx,,,,AVAILABLE_EMPTY,true,true,true
Bear Creek,4806242,hays-tx,1,true,,0,0,hays-tx,,,,AVAILABLE_EMPTY,true,true,true
Bear Creek Ranch,4806244,dallas-tx,1,true,,0,0,dallas-tx,,,,AVAILABLE_EMPTY,true,true,true
Beasley,4806272,fort-bend-tx,1,true,,2,2,fort-bend-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Beaumont,4807000,jefferson-tx,1,true,,146,146,jefferson-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Beauxart Gardens,4807036,jefferson-tx,1,true,,1,1,jefferson-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Beaver Creek,4807042,burleson-tx,1,true,,0,0,burleson-tx,,,,AVAILABLE_EMPTY,true,true,true
Beckville,4807108,panola-tx,1,true,,2,2,panola-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Bedford,4807132,tarrant-tx,1,true,,0,0,tarrant-tx,,,,AVAILABLE_EMPTY,true,true,true
Bedias,4807144,grimes-tx,1,true,,0,0,grimes-tx,,,,AVAILABLE_EMPTY,true,true,true
Bee Cave,4807156,travis-tx,1,true,,0,0,travis-tx,,,,AVAILABLE_EMPTY,true,true,true
Beeville,4807192,bee-tx,1,true,,0,0,bee-tx,,,,AVAILABLE_EMPTY,true,true,true
Bellaire,4807300,harris-tx,1,true,,0,0,harris-tx,,,,AVAILABLE_EMPTY,true,true,true
Bellevue,4807396,clay-tx,1,true,,2,2,clay-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Bellmead,4807408,mclennan-tx,1,true,,9,9,mclennan-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Bells,4807420,grayson-tx,1,true,,2,2,grayson-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Bellville,4807432,austin-tx,1,true,,4,4,austin-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Belterra,4807486,hays-tx,1,true,,0,0,hays-tx,,,,AVAILABLE_EMPTY,true,true,true
Belton,4807492,bell-tx,1,true,,7,7,bell-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Ben Arnold,4807516,milam-tx,1,true,,0,0,milam-tx,,,,AVAILABLE_EMPTY,true,true,true
Benavides,4807528,duval-tx,1,true,,7,7,duval-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Ben Bolt,4807540,jim-wells-tx,1,true,,0,0,jim-wells-tx,,,,AVAILABLE_EMPTY,true,true,true
Benbrook,4807552,tarrant-tx,1,true,,3,3,tarrant-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Benjamin,4807636,knox-tx,1,true,,0,0,knox-tx,,,,AVAILABLE_EMPTY,true,true,true
Benjamin Perez,4807642,starr-tx,1,true,,0,0,starr-tx,,,,AVAILABLE_EMPTY,true,true,true
Ben Wheeler,4807708,van-zandt-tx,1,true,,0,0,van-zandt-tx,,,,AVAILABLE_EMPTY,true,true,true
Berryville,4807852,henderson-tx,1,true,,0,0,henderson-tx,,,,AVAILABLE_EMPTY,true,true,true
Bertram,4807864,burnet-tx,1,true,,7,7,burnet-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Beverly Hills,4808104,mclennan-tx,1,true,,1,1,mclennan-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Bevil Oaks,4808128,jefferson-tx,1,true,,0,0,jefferson-tx,,,,AVAILABLE_EMPTY,true,true,true
Bigfoot,4808164,frio-tx,1,true,,0,0,frio-tx,,,,AVAILABLE_EMPTY,true,true,true
Big Lake,4808212,reagan-tx,1,true,,2,2,reagan-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Big Sandy,4808224,upshur-tx,1,true,,5,5,upshur-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Big Spring,4808236,howard-tx,1,true,,11,11,howard-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Big Thicket Lake Estates,4808240,liberty-tx|polk-tx,2,true,,0,0,liberty-tx|polk-tx,,,,AVAILABLE_EMPTY,true,true,true
Big Wells,4808260,dimmit-tx,1,true,,0,0,dimmit-tx,,,,AVAILABLE_EMPTY,true,true,true
Bishop,4808392,nueces-tx,1,true,,10,10,nueces-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Bishop Hills,4808398,potter-tx,1,true,,0,0,potter-tx,,,,AVAILABLE_EMPTY,true,true,true
Bivins,4808404,cass-tx,1,true,,1,1,cass-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Bixby,4808410,cameron-tx,1,true,,1,1,cameron-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Blackwell,4808488,coke-tx|nolan-tx,2,true,,0,0,coke-tx|nolan-tx,,,,AVAILABLE_EMPTY,true,true,true
Blanco,4808536,blanco-tx,1,true,,0,0,blanco-tx,,,,AVAILABLE_EMPTY,true,true,true
Blanket,4808596,brown-tx,1,true,,3,3,brown-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Bledsoe,4808644,cochran-tx,1,true,,0,0,cochran-tx,,,,AVAILABLE_EMPTY,true,true,true
Blessing,4808668,matagorda-tx,1,true,,5,5,matagorda-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Bloomburg,4808752,cass-tx,1,true,,2,2,cass-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Blooming Grove,4808788,navarro-tx,1,true,,0,0,navarro-tx,,,,AVAILABLE_EMPTY,true,true,true
Bloomington,4808800,victoria-tx,1,true,,4,4,victoria-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Blossom,4808812,lamar-tx,1,true,,0,0,lamar-tx,,,,AVAILABLE_EMPTY,true,true,true
Blue Berry Hill,4808830,bee-tx,1,true,,0,0,bee-tx,,,,AVAILABLE_EMPTY,true,true,true
Blue Mound,4808860,tarrant-tx,1,true,,0,0,tarrant-tx,,,,AVAILABLE_EMPTY,true,true,true
Blue Ridge,4808872,collin-tx,1,true,,0,0,collin-tx,,,,AVAILABLE_EMPTY,true,true,true
Bluetown,4808908,cameron-tx,1,true,,0,0,cameron-tx,,,,AVAILABLE_EMPTY,true,true,true
Bluff Dale,4808932,erath-tx,1,true,,3,3,erath-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Blum,4809004,hill-tx,1,true,,0,0,hill-tx,,,,AVAILABLE_EMPTY,true,true,true
Boerne,4809160,kendall-tx,1,true,,0,0,kendall-tx,,,,AVAILABLE_EMPTY,true,true,true
Bogata,4809172,red-river-tx,1,true,,0,0,red-river-tx,,,,AVAILABLE_EMPTY,true,true,true
Boling,4809232,wharton-tx,1,true,,0,0,wharton-tx,,,,AVAILABLE_EMPTY,true,true,true
Bolivar Peninsula,4809250,galveston-tx,1,true,,0,0,galveston-tx,,,,AVAILABLE_EMPTY,true,true,true
Bonanza Hills,4809310,webb-tx,1,true,,0,0,webb-tx,,,,AVAILABLE_EMPTY,true,true,true
Bonham,4809328,fannin-tx,1,true,,4,4,fannin-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Bonney,4809388,brazoria-tx,1,true,,0,0,brazoria-tx,,,,AVAILABLE_EMPTY,true,true,true
Booker,4809448,lipscomb-tx|ochiltree-tx,2,true,,0,0,lipscomb-tx|ochiltree-tx,,,,AVAILABLE_EMPTY,true,true,true
Borger,4809556,hutchinson-tx,1,true,,16,16,hutchinson-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Botines,4809598,webb-tx,1,true,,0,0,webb-tx,,,,AVAILABLE_EMPTY,true,true,true
Bovina,4809628,parmer-tx,1,true,,2,2,parmer-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Bowie,4809640,montague-tx,1,true,,9,9,montague-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Box Canyon,4809656,val-verde-tx,1,true,,0,0,val-verde-tx,,,,AVAILABLE_EMPTY,true,true,true
Boyd,4809748,wise-tx,1,true,,4,4,wise-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Boys Ranch,4809796,oldham-tx,1,true,,0,0,oldham-tx,,,,AVAILABLE_EMPTY,true,true,true
Brackettville,4809868,kinney-tx,1,true,,0,0,kinney-tx,,,,AVAILABLE_EMPTY,true,true,true
Brady,4809916,mcculloch-tx,1,true,,7,7,mcculloch-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Brazoria,4810072,brazoria-tx,1,true,,5,5,brazoria-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Brazos,4810084,palo-pinto-tx,1,true,,1,1,palo-pinto-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Brazos Country,4810090,austin-tx,1,true,,0,0,austin-tx,,,,AVAILABLE_EMPTY,true,true,true
Breckenridge,4810132,stephens-tx,1,true,,0,0,stephens-tx,,,,AVAILABLE_EMPTY,true,true,true
Bremond,4810144,robertson-tx,1,true,,6,6,robertson-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Brenham,4810156,washington-tx,1,true,,27,27,washington-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Briar,4810192,parker-tx|tarrant-tx|wise-tx,3,true,,0,0,parker-tx|tarrant-tx|wise-tx,,,,AVAILABLE_EMPTY,true,true,true
Briarcliff,4810197,travis-tx,1,true,,0,0,travis-tx,,,,AVAILABLE_EMPTY,true,true,true
Briaroaks,4810216,johnson-tx,1,true,,0,0,johnson-tx,,,,AVAILABLE_EMPTY,true,true,true
Bridge City,4810252,orange-tx,1,true,,1,1,orange-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Bridgeport,4810264,wise-tx,1,true,,9,9,wise-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Briggs,4810276,burnet-tx,1,true,,0,0,burnet-tx,,,,AVAILABLE_EMPTY,true,true,true
Bristol,4810336,ellis-tx,1,true,,0,0,ellis-tx,,,,AVAILABLE_EMPTY,true,true,true
Broaddus,4810384,san-augustine-tx,1,true,,0,0,san-augustine-tx,,,,AVAILABLE_EMPTY,true,true,true
Bronte,4810528,coke-tx,1,true,,0,0,coke-tx,,,,AVAILABLE_EMPTY,true,true,true
Brookshire,4810636,waller-tx,1,true,,6,6,waller-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Brookside Village,4810648,brazoria-tx,1,true,,0,0,brazoria-tx,,,,AVAILABLE_EMPTY,true,true,true
Brookston,4810660,lamar-tx,1,true,,0,0,lamar-tx,,,,AVAILABLE_EMPTY,true,true,true
Browndell,4810708,jasper-tx,1,true,,0,0,jasper-tx,,,,AVAILABLE_EMPTY,true,true,true
Brownfield,4810720,terry-tx,1,true,,7,7,terry-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Brownsboro,4810756,henderson-tx,1,true,,3,3,henderson-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Brownsville,4810768,cameron-tx,1,true,,52,52,cameron-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Brownwood,4810780,brown-tx,1,true,,26,26,brown-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Bruceville-Eddy,4810828,falls-tx|mclennan-tx,2,true,,4,4,falls-tx|mclennan-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Brundage,4810852,dimmit-tx,1,true,,0,0,dimmit-tx,,,,AVAILABLE_EMPTY,true,true,true
Bruni,4810876,webb-tx,1,true,,1,1,webb-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Brushy Creek,4810897,williamson-tx,1,true,,0,0,williamson-tx,,,,AVAILABLE_EMPTY,true,true,true
Bryan,4810912,brazos-tx,1,true,,43,43,brazos-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Bryson,4810960,jack-tx,1,true,,0,0,jack-tx,,,,AVAILABLE_EMPTY,true,true,true
Buchanan Dam,4810984,llano-tx,1,true,,0,0,llano-tx,,,,AVAILABLE_EMPTY,true,true,true
Buchanan Lake Village,4810990,llano-tx,1,true,,0,0,llano-tx,,,,AVAILABLE_EMPTY,true,true,true
Buckholts,4811020,milam-tx,1,true,,1,1,milam-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Buda,4811080,hays-tx,1,true,,2,2,hays-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Buena Vista,4811102,starr-tx,1,true,,0,0,starr-tx,,,,AVAILABLE_EMPTY,true,true,true
Buffalo,4811116,leon-tx,1,true,,7,7,leon-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Buffalo Gap,4811128,taylor-tx,1,true,,2,2,taylor-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Buffalo Springs Lake,4811155,lubbock-tx,1,true,,0,0,lubbock-tx,,,,AVAILABLE_EMPTY,true,true,true
Bullard,4811212,cherokee-tx|smith-tx,2,true,,0,0,cherokee-tx|smith-tx,,,,AVAILABLE_EMPTY,true,true,true
Bulverde,4811224,comal-tx,1,true,,0,0,comal-tx,,,,AVAILABLE_EMPTY,true,true,true
Buna,4811236,jasper-tx,1,true,,12,12,jasper-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Bunker Hill Village,4811300,harris-tx,1,true,,0,0,harris-tx,,,,AVAILABLE_EMPTY,true,true,true
Burkburnett,4811368,wichita-tx,1,true,,9,9,wichita-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Burke,4811380,angelina-tx,1,true,,5,5,angelina-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Burleson,4811428,johnson-tx|tarrant-tx,2,true,,25,25,johnson-tx|tarrant-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Burlington,4811440,milam-tx,1,true,,0,0,milam-tx,,,,AVAILABLE_EMPTY,true,true,true
Burnet,4811464,burnet-tx,1,true,,7,7,burnet-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Burton,4811536,washington-tx,1,true,,0,0,washington-tx,,,,AVAILABLE_EMPTY,true,true,true
Bushland,4811572,potter-tx|randall-tx,2,true,,0,0,potter-tx|randall-tx,,,,AVAILABLE_EMPTY,true,true,true
Butterfield,4811626,el-paso-tx,1,true,,0,0,el-paso-tx,,,,AVAILABLE_EMPTY,true,true,true
Byers,4811644,clay-tx,1,true,,0,0,clay-tx,,,,AVAILABLE_EMPTY,true,true,true
Bynum,4811656,hill-tx,1,true,,0,0,hill-tx,,,,AVAILABLE_EMPTY,true,true,true
Cactus,4811692,moore-tx,1,true,,2,2,moore-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Caddo Mills,4811716,hunt-tx,1,true,,5,5,hunt-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Cade Lakes,4811725,burleson-tx,1,true,,0,0,burleson-tx,,,,AVAILABLE_EMPTY,true,true,true
Caldwell,4811836,burleson-tx,1,true,,9,9,burleson-tx,,,,AVAILABLE_NONEMPTY,true,true,true
Callender Lake,4811940,van-zandt-tx,1,true,,0,0,van-zandt-tx,,,,AVAILABLE_EMPTY,true,true,true
Callisburg,4811968,cooke-tx,1,true,,0,0,cooke-tx,,,,AVAILABLE_EMPTY,true,true,true
Calvert,4811992,robertson-tx,1,true,,7,7,robertson-tx,,,,AVAILABLE_NONEMPTY,true,true,true
