"county_id","place_geoid","community","local_pass","status"
"lamb-tx","4803084","Amherst","true","CONDITIONAL"
"val-verde-tx","4803096","Amistad","true","CONDITIONAL"
"starr-tx","4803126","Anacua","true","CONDITIONAL"
"chambers-tx","4803144","Anahuac","true","CONDITIONAL"
"grimes-tx","4803192","Anderson","true","CONDITIONAL"
"andrews-tx","4803216","Andrews","true","CONDITIONAL"
"brazoria-tx","4803264","Angleton","true","CONDITIONAL"
"navarro-tx","4803288","Angus","true","CONDITIONAL"
"collin-tx","4803300","Anna","true","CONDITIONAL"
"parker-tx","4803336","Annetta","true","CONDITIONAL"
"parker-tx","4803340","Annetta North","true","CONDITIONAL"
"parker-tx","4803342","Annetta South","true","CONDITIONAL"
"red-river-tx","4803360","Annona","true","CONDITIONAL"
"jones-tx","4803372","Anson","true","CONDITIONAL"
"el-paso-tx","4803432","Anthony","true","CONDITIONAL"
"hockley-tx","4803540","Anton","true","CONDITIONAL"
"nacogdoches-tx","4803564","Appleby","true","CONDITIONAL"
"hill-tx","4803588","Aquilla","true","CONDITIONAL"
"aransas-tx","4803600","Aransas Pass","true","CONDITIONAL"
"nueces-tx","4803600","Aransas Pass","true","CONDITIONAL"
"san-patricio-tx","4803600","Aransas Pass","true","CONDITIONAL"
"archer-tx","4803696","Archer City","true","CONDITIONAL"
"fort-bend-tx","4803708","Arcola","true","CONDITIONAL"
"denton-tx","4803768","Argyle","true","CONDITIONAL"
"tarrant-tx","4804000","Arlington","true","CONDITIONAL"
"smith-tx","4804156","Arp","true","CONDITIONAL"
"cameron-tx","4804174","Arroyo Colorado Estates","true","CONDITIONAL"
"cameron-tx","4804176","Arroyo Gardens","true","CONDITIONAL"
"dimmit-tx","4804300","Asherton","true","CONDITIONAL"
"stonewall-tx","4804408","Aspermont","true","CONDITIONAL"
"harris-tx","4804462","Atascocita","true","CONDITIONAL"
"henderson-tx","4804504","Athens","true","CONDITIONAL"
"cass-tx","4804516","Atlanta","true","CONDITIONAL"
"denton-tx","4804600","Aubrey","true","CONDITIONAL"
"wise-tx","4804672","Aurora","true","CONDITIONAL"
"bastrop-tx","4805000","Austin","true","CONDITIONAL"
"hays-tx","4805000","Austin","true","CONDITIONAL"
"travis-tx","4805000","Austin","true","CONDITIONAL"
"williamson-tx","4805000","Austin","true","CONDITIONAL"
"refugio-tx","4805036","Austwell","true","CONDITIONAL"
"red-river-tx","4805072","Avery","true","CONDITIONAL"
"cass-tx","4805084","Avinger","true","CONDITIONAL"
"parker-tx","4805168","Azle","true","CONDITIONAL"
"tarrant-tx","4805168","Azle","true","CONDITIONAL"
"galveston-tx","4805180","Bacliff","true","CONDITIONAL"
"fannin-tx","4805264","Bailey","true","CONDITIONAL"
"brazoria-tx","4805288","Bailey's Prairie","true","CONDITIONAL"
"callahan-tx","4805336","Baird","true","CONDITIONAL"
"dallas-tx","4805372","Balch Springs","true","CONDITIONAL"
"bexar-tx","4805384","Balcones Heights","true","CONDITIONAL"
"runnels-tx","4805456","Ballinger","true","CONDITIONAL"
"reeves-tx","4805468","Balmorhea","true","CONDITIONAL"
"starr-tx","4805520","B and E","true","CONDITIONAL"
"bandera-tx","4805528","Bandera","true","CONDITIONAL"
"brown-tx","4805552","Bangs","true","CONDITIONAL"
"nueces-tx","4805576","Banquete","true","CONDITIONAL"
"ellis-tx","4805612","Bardwell","true","CONDITIONAL"
"edwards-tx","4805648","Barksdale","true","CONDITIONAL"
"starr-tx","4805690","Barrera","true","CONDITIONAL"
"harris-tx","4805696","Barrett","true","CONDITIONAL"
"navarro-tx","4805708","Barry","true","CONDITIONAL"
"ward-tx","4805720","Barstow","true","CONDITIONAL"
"bell-tx","4805732","Bartlett","true","CONDITIONAL"
"williamson-tx","4805732","Bartlett","true","CONDITIONAL"
"travis-tx","4805750","Barton Creek","true","CONDITIONAL"
"denton-tx","4805768","Bartonville","true","CONDITIONAL"
"bastrop-tx","4805864","Bastrop","true","CONDITIONAL"
"zavala-tx","4805924","Batesville","true","CONDITIONAL"
"matagorda-tx","4805984","Bay City","true","CONDITIONAL"
"galveston-tx","4806060","Bayou Vista","true","CONDITIONAL"
"refugio-tx","4806104","Bayside","true","CONDITIONAL"
"chambers-tx","4806128","Baytown","true","CONDITIONAL"
"harris-tx","4806128","Baytown","true","CONDITIONAL"
"cameron-tx","4806140","Bayview","true","CONDITIONAL"
"chambers-tx","4806200","Beach City","true","CONDITIONAL"
"hays-tx","4806242","Bear Creek","true","CONDITIONAL"
"dallas-tx","4806244","Bear Creek Ranch","true","CONDITIONAL"
"fort-bend-tx","4806272","Beasley","true","CONDITIONAL"
"jefferson-tx","4807000","Beaumont","true","CONDITIONAL"
"jefferson-tx","4807036","Beauxart Gardens","true","CONDITIONAL"
"burleson-tx","4807042","Beaver Creek","true","CONDITIONAL"
"panola-tx","4807108","Beckville","true","CONDITIONAL"
"tarrant-tx","4807132","Bedford","true","CONDITIONAL"
"grimes-tx","4807144","Bedias","true","CONDITIONAL"
"travis-tx","4807156","Bee Cave","true","CONDITIONAL"
"bee-tx","4807192","Beeville","true","CONDITIONAL"
"harris-tx","4807300","Bellaire","true","CONDITIONAL"
"clay-tx","4807396","Bellevue","true","CONDITIONAL"
"mclennan-tx","4807408","Bellmead","true","CONDITIONAL"
"grayson-tx","4807420","Bells","true","CONDITIONAL"
"austin-tx","4807432","Bellville","true","CONDITIONAL"
"hays-tx","4807486","Belterra","true","CONDITIONAL"
"bell-tx","4807492","Belton","true","CONDITIONAL"
"milam-tx","4807516","Ben Arnold","true","CONDITIONAL"
"duval-tx","4807528","Benavides","true","CONDITIONAL"
"jim-wells-tx","4807540","Ben Bolt","true","CONDITIONAL"
"tarrant-tx","4807552","Benbrook","true","CONDITIONAL"
"knox-tx","4807636","Benjamin","true","CONDITIONAL"
"starr-tx","4807642","Benjamin Perez","true","CONDITIONAL"
"van-zandt-tx","4807708","Ben Wheeler","true","CONDITIONAL"
"henderson-tx","4807852","Berryville","true","CONDITIONAL"
"burnet-tx","4807864","Bertram","true","CONDITIONAL"
"mclennan-tx","4808104","Beverly Hills","true","CONDITIONAL"
"jefferson-tx","4808128","Bevil Oaks","true","CONDITIONAL"
"frio-tx","4808164","Bigfoot","true","CONDITIONAL"
"reagan-tx","4808212","Big Lake","true","CONDITIONAL"
"upshur-tx","4808224","Big Sandy","true","CONDITIONAL"
"howard-tx","4808236","Big Spring","true","CONDITIONAL"
"liberty-tx","4808240","Big Thicket Lake Estates","true","CONDITIONAL"
"polk-tx","4808240","Big Thicket Lake Estates","true","CONDITIONAL"
"dimmit-tx","4808260","Big Wells","true","CONDITIONAL"
"nueces-tx","4808392","Bishop","true","CONDITIONAL"
"potter-tx","4808398","Bishop Hills","true","CONDITIONAL"
"cass-tx","4808404","Bivins","true","CONDITIONAL"
"cameron-tx","4808410","Bixby","true","CONDITIONAL"
"coke-tx","4808488","Blackwell","true","CONDITIONAL"
"nolan-tx","4808488","Blackwell","true","CONDITIONAL"
"blanco-tx","4808536","Blanco","true","CONDITIONAL"
"brown-tx","4808596","Blanket","true","CONDITIONAL"
"cochran-tx","4808644","Bledsoe","true","CONDITIONAL"
"matagorda-tx","4808668","Blessing","true","CONDITIONAL"
"cass-tx","4808752","Bloomburg","true","CONDITIONAL"
"navarro-tx","4808788","Blooming Grove","true","CONDITIONAL"
"victoria-tx","4808800","Bloomington","true","CONDITIONAL"
"lamar-tx","4808812","Blossom","true","CONDITIONAL"
"bee-tx","4808830","Blue Berry Hill","true","CONDITIONAL"
"tarrant-tx","4808860","Blue Mound","true","CONDITIONAL"
"collin-tx","4808872","Blue Ridge","true","CONDITIONAL"
"cameron-tx","4808908","Bluetown","true","CONDITIONAL"
"erath-tx","4808932","Bluff Dale","true","CONDITIONAL"
"hill-tx","4809004","Blum","true","CONDITIONAL"
"kendall-tx","4809160","Boerne","true","CONDITIONAL"
"red-river-tx","4809172","Bogata","true","CONDITIONAL"
"wharton-tx","4809232","Boling","true","CONDITIONAL"
"galveston-tx","4809250","Bolivar Peninsula","true","CONDITIONAL"
"webb-tx","4809310","Bonanza Hills","true","CONDITIONAL"
"fannin-tx","4809328","Bonham","true","CONDITIONAL"
"brazoria-tx","4809388","Bonney","true","CONDITIONAL"
"lipscomb-tx","4809448","Booker","true","CONDITIONAL"
"ochiltree-tx","4809448","Booker","true","CONDITIONAL"
"hutchinson-tx","4809556","Borger","true","CONDITIONAL"
"webb-tx","4809598","Botines","true","CONDITIONAL"
"parmer-tx","4809628","Bovina","true","CONDITIONAL"
"montague-tx","4809640","Bowie","true","CONDITIONAL"
"val-verde-tx","4809656","Box Canyon","true","CONDITIONAL"
"wise-tx","4809748","Boyd","true","CONDITIONAL"
"oldham-tx","4809796","Boys Ranch","true","CONDITIONAL"
"kinney-tx","4809868","Brackettville","true","CONDITIONAL"
"mcculloch-tx","4809916","Brady","true","CONDITIONAL"
"brazoria-tx","4810072","Brazoria","true","CONDITIONAL"
"palo-pinto-tx","4810084","Brazos","true","CONDITIONAL"
"austin-tx","4810090","Brazos Country","true","CONDITIONAL"
"stephens-tx","4810132","Breckenridge","true","CONDITIONAL"
"robertson-tx","4810144","Bremond","true","CONDITIONAL"
"washington-tx","4810156","Brenham","true","CONDITIONAL"
"parker-tx","4810192","Briar","true","CONDITIONAL"
"tarrant-tx","4810192","Briar","true","CONDITIONAL"
"wise-tx","4810192","Briar","true","CONDITIONAL"
"travis-tx","4810197","Briarcliff","true","CONDITIONAL"
"johnson-tx","4810216","Briaroaks","true","CONDITIONAL"
"orange-tx","4810252","Bridge City","true","CONDITIONAL"
"wise-tx","4810264","Bridgeport","true","CONDITIONAL"
"burnet-tx","4810276","Briggs","true","CONDITIONAL"
"ellis-tx","4810336","Bristol","true","CONDITIONAL"
"san-augustine-tx","4810384","Broaddus","true","CONDITIONAL"
"coke-tx","4810528","Bronte","true","CONDITIONAL"
"waller-tx","4810636","Brookshire","true","CONDITIONAL"
"brazoria-tx","4810648","Brookside Village","true","CONDITIONAL"
"lamar-tx","4810660","Brookston","true","CONDITIONAL"
"jasper-tx","4810708","Browndell","true","CONDITIONAL"
"terry-tx","4810720","Brownfield","true","CONDITIONAL"
"henderson-tx","4810756","Brownsboro","true","CONDITIONAL"
"cameron-tx","4810768","Brownsville","true","CONDITIONAL"
"brown-tx","4810780","Brownwood","true","CONDITIONAL"
"falls-tx","4810828","Bruceville-Eddy","true","CONDITIONAL"
"mclennan-tx","4810828","Bruceville-Eddy","true","CONDITIONAL"
"dimmit-tx","4810852","Brundage","true","CONDITIONAL"
"webb-tx","4810876","Bruni","true","CONDITIONAL"
"williamson-tx","4810897","Brushy Creek","true","CONDITIONAL"
"brazos-tx","4810912","Bryan","true","CONDITIONAL"
"jack-tx","4810960","Bryson","true","CONDITIONAL"
"llano-tx","4810984","Buchanan Dam","true","CONDITIONAL"
"llano-tx","4810990","Buchanan Lake Village","true","CONDITIONAL"
"milam-tx","4811020","Buckholts","true","CONDITIONAL"
"hays-tx","4811080","Buda","true","CONDITIONAL"
"starr-tx","4811102","Buena Vista","true","CONDITIONAL"
"leon-tx","4811116","Buffalo","true","CONDITIONAL"
"taylor-tx","4811128","Buffalo Gap","true","CONDITIONAL"
"lubbock-tx","4811155","Buffalo Springs Lake","true","CONDITIONAL"
"cherokee-tx","4811212","Bullard","true","CONDITIONAL"
"smith-tx","4811212","Bullard","true","CONDITIONAL"
"comal-tx","4811224","Bulverde","true","CONDITIONAL"
"jasper-tx","4811236","Buna","true","CONDITIONAL"
"harris-tx","4811300","Bunker Hill Village","true","CONDITIONAL"
"wichita-tx","4811368","Burkburnett","true","CONDITIONAL"
"angelina-tx","4811380","Burke","true","CONDITIONAL"
"johnson-tx","4811428","Burleson","true","CONDITIONAL"
"tarrant-tx","4811428","Burleson","true","CONDITIONAL"
"milam-tx","4811440","Burlington","true","CONDITIONAL"
"burnet-tx","4811464","Burnet","true","CONDITIONAL"
"washington-tx","4811536","Burton","true","CONDITIONAL"
"potter-tx","4811572","Bushland","true","CONDITIONAL"
"randall-tx","4811572","Bushland","true","CONDITIONAL"
"el-paso-tx","4811626","Butterfield","true","CONDITIONAL"
"clay-tx","4811644","Byers","true","CONDITIONAL"
"hill-tx","4811656","Bynum","true","CONDITIONAL"
"moore-tx","4811692","Cactus","true","CONDITIONAL"
"hunt-tx","4811716","Caddo Mills","true","CONDITIONAL"
"burleson-tx","4811725","Cade Lakes","true","CONDITIONAL"
"burleson-tx","4811836","Caldwell","true","CONDITIONAL"
"van-zandt-tx","4811940","Callender Lake","true","CONDITIONAL"
"cooke-tx","4811968","Callisburg","true","CONDITIONAL"
"robertson-tx","4811992","Calvert","true","CONDITIONAL"
"starr-tx","4812010","Camargito","true","CONDITIONAL"
"milam-tx","4812040","Cameron","true","CONDITIONAL"
"cameron-tx","4812045","Cameron Park","true","CONDITIONAL"
"hunt-tx","4812112","Campbell","true","CONDITIONAL"
"starr-tx","4812226","Campo Verde","true","CONDITIONAL"
"bastrop-tx","4812334","Camp Swift","true","CONDITIONAL"
"real-tx","4812388","Camp Wood","true","CONDITIONAL"
"hemphill-tx","4812412","Canadian","true","CONDITIONAL"
"henderson-tx","4812472","Caney City","true","CONDITIONAL"
"van-zandt-tx","4812496","Canton","true","CONDITIONAL"
"brooks-tx","4812502","Cantu Addition","true","CONDITIONAL"
"el-paso-tx","4812508","Canutillo","true","CONDITIONAL"
"randall-tx","4812532","Canyon","true","CONDITIONAL"
"hood-tx","4812562","Canyon Creek","true","CONDITIONAL"
"comal-tx","4812580","Canyon Lake","true","CONDITIONAL"
"san-jacinto-tx","4812600","Cape Royale","true","CONDITIONAL"
"eastland-tx","4812736","Carbon","true","CONDITIONAL"
"tom-green-tx","4812892","Carlsbad","true","CONDITIONAL"
"hill-tx","4812895","Carl's Corner","true","CONDITIONAL"
"hamilton-tx","4812904","Carlton","true","CONDITIONAL"
"fayette-tx","4812916","Carmine","true","CONDITIONAL"
"dimmit-tx","4812982","Carrizo Hill","true","CONDITIONAL"
"dimmit-tx","4812988","Carrizo Springs","true","CONDITIONAL"
"collin-tx","4813024","Carrollton","true","CONDITIONAL"
"dallas-tx","4813024","Carrollton","true","CONDITIONAL"
"denton-tx","4813024","Carrollton","true","CONDITIONAL"
"parker-tx","4813075","Carter","true","CONDITIONAL"
"panola-tx","4813108","Carthage","true","CONDITIONAL"
"starr-tx","4813128","Casa Blanca","true","CONDITIONAL"
"starr-tx","4813150","Casas","true","CONDITIONAL"
"wichita-tx","4813198","Cashion Community","true","CONDITIONAL"
"bexar-tx","4813276","Castle Hills","true","CONDITIONAL"
"medina-tx","4813312","Castroville","true","CONDITIONAL"
"dimmit-tx","4813324","Catarina","true","CONDITIONAL"
"bastrop-tx","4813432","Cedar Creek","true","CONDITIONAL"
"dallas-tx","4813492","Cedar Hill","true","CONDITIONAL"
"ellis-tx","4813492","Cedar Hill","true","CONDITIONAL"
"travis-tx","4813552","Cedar Park","true","CONDITIONAL"
"williamson-tx","4813552","Cedar Park","true","CONDITIONAL"
"polk-tx","4813570","Cedar Point","true","CONDITIONAL"
"hunt-tx","4813672","Celeste","true","CONDITIONAL"
"collin-tx","4813684","Celina","true","CONDITIONAL"
"denton-tx","4813684","Celina","true","CONDITIONAL"
"shelby-tx","4813732","Center","true","CONDITIONAL"
"kerr-tx","4813828","Center Point","true","CONDITIONAL"
"leon-tx","4813900","Centerville","true","CONDITIONAL"
"jefferson-tx","4813972","Central Gardens","true","CONDITIONAL"
"hidalgo-tx","4814038","CÃ©sar ChÃ¡vez","true","CONDITIONAL"
"henderson-tx","4814224","Chandler","true","CONDITIONAL"
"harris-tx","4814236","Channelview","true","CONDITIONAL"
"hartley-tx","4814260","Channing","true","CONDITIONAL"
"starr-tx","4814266","Chaparrito","true","CONDITIONAL"
"starr-tx","4814290","Chapeno","true","CONDITIONAL"
"atascosa-tx","4814404","Charlotte","true","CONDITIONAL"
"tyler-tx","4814584","Chester","true","CONDITIONAL"
"wise-tx","4814620","Chico","true","CONDITIONAL"
"childress-tx","4814668","Childress","true","CONDITIONAL"
"hardeman-tx","4814680","Chillicothe","true","CONDITIONAL"
"falls-tx","4814692","Chilton","true","CONDITIONAL"
"jefferson-tx","4814704","China","true","CONDITIONAL"
"bexar-tx","4814716","China Grove","true","CONDITIONAL"
"mclennan-tx","4814740","China Spring","true","CONDITIONAL"
"nacogdoches-tx","4814776","Chireno","true","CONDITIONAL"
"atascosa-tx","4814860","Christine","true","CONDITIONAL"
"tom-green-tx","4814872","Christoval","true","CONDITIONAL"
"cameron-tx","4814880","Chula Vista","true","CONDITIONAL"
"maverick-tx","4814881","Chula Vista","true","CONDITIONAL"
"zavala-tx","4814882","Chula Vista","true","CONDITIONAL"
"bexar-tx","4814920","Cibolo","true","CONDITIONAL"
"guadalupe-tx","4814920","Cibolo","true","CONDITIONAL"
"val-verde-tx","4814927","Cienegas Terrace","true","CONDITIONAL"
"fort-bend-tx","4814929","Cinco Ranch","true","CONDITIONAL"
"harris-tx","4814929","Cinco Ranch","true","CONDITIONAL"
"bastrop-tx","4814986","Circle D-KC Estates","true","CONDITIONAL"
"eastland-tx","4815004","Cisco","true","CONDITIONAL"
"hidalgo-tx","4815028","Citrus City","true","CONDITIONAL"
"donley-tx","4815112","Clarendon","true","CONDITIONAL"
"red-river-tx","4815160","Clarksville","true","CONDITIONAL"
"gregg-tx","4815172","Clarksville City","true","CONDITIONAL"
"upshur-tx","4815172","Clarksville City","true","CONDITIONAL"
"armstrong-tx","4815196","Claude","true","CONDITIONAL"
"burleson-tx","4815232","Clay","true","CONDITIONAL"
"galveston-tx","4815328","Clear Lake Shores","true","CONDITIONAL"
"johnson-tx","4815364","Cleburne","true","CONDITIONAL"
"liberty-tx","4815436","Cleveland","true","CONDITIONAL"
"montgomery-tx","4815436","Cleveland","true","CONDITIONAL"
"san-jacinto-tx","4815436","Cleveland","true","CONDITIONAL"
"bosque-tx","4815472","Clifton","true","CONDITIONAL"
"el-paso-tx","4815544","Clint","true","CONDITIONAL"
"harris-tx","4815628","Cloverleaf","true","CONDITIONAL"
"brazoria-tx","4815652","Clute","true","CONDITIONAL"
"callahan-tx","4815676","Clyde","true","CONDITIONAL"
"howard-tx","4815700","Coahoma","true","CONDITIONAL"
"dallas-tx","4815796","Cockrell Hill","true","CONDITIONAL"
"henderson-tx","4815820","Coffee City","true","CONDITIONAL"
"san-jacinto-tx","4815892","Coldspring","true","CONDITIONAL"
"coleman-tx","4815916","Coleman","true","CONDITIONAL"
"brazos-tx","4815976","College Station","true","CONDITIONAL"
"tarrant-tx","4815988","Colleyville","true","CONDITIONAL"
"grayson-tx","4816036","Collinsville","true","CONDITIONAL"
"tyler-tx","4816048","Colmesneil","true","CONDITIONAL"
"webb-tx","4816110","Colorado Acres","true","CONDITIONAL"
"mitchell-tx","4816120","Colorado City","true","CONDITIONAL"
"colorado-tx","4816168","Columbus","true","CONDITIONAL"
"comanche-tx","4816192","Comanche","true","CONDITIONAL"
"cameron-tx","4816204","Combes","true","CONDITIONAL"
"dallas-tx","4816216","Combine","true","CONDITIONAL"
"kaufman-tx","4816216","Combine","true","CONDITIONAL"
"kendall-tx","4816228","Comfort","true","CONDITIONAL"
"hunt-tx","4816240","Commerce","true","CONDITIONAL"
"hopkins-tx","4816252","Como","true","CONDITIONAL"
"duval-tx","4816300","Concepcion","true","CONDITIONAL"
"montgomery-tx","4816432","Conroe","true","CONDITIONAL"
"bexar-tx","4816468","Converse","true","CONDITIONAL"
"parker-tx","4816540","Cool","true","CONDITIONAL"
"limestone-tx","4816552","Coolidge","true","CONDITIONAL"
"delta-tx","4816564","Cooper","true","CONDITIONAL"
"dallas-tx","4816612","Coppell","true","CONDITIONAL"
"denton-tx","4816612","Coppell","true","CONDITIONAL"
"bell-tx","4816624","Copperas Cove","true","CONDITIONAL"
"coryell-tx","4816624","Copperas Cove","true","CONDITIONAL"
"lampasas-tx","4816624","Copperas Cove","true","CONDITIONAL"
"denton-tx","4816636","Copper Canyon","true","CONDITIONAL"
"denton-tx","4816696","Corinth","true","CONDITIONAL"
"aransas-tx","4817000","Corpus Christi","true","CONDITIONAL"
"kleberg-tx","4817000","Corpus Christi","true","CONDITIONAL"
"nueces-tx","4817000","Corpus Christi","true","CONDITIONAL"
"san-patricio-tx","4817000","Corpus Christi","true","CONDITIONAL"
"denton-tx","4817021","Corral City","true","CONDITIONAL"
"polk-tx","4817036","Corrigan","true","CONDITIONAL"
"navarro-tx","4817060","Corsicana","true","CONDITIONAL"
"kaufman-tx","4817200","Cottonwood","true","CONDITIONAL"
"burnet-tx","4817208","Cottonwood Shores","true","CONDITIONAL"
"la-salle-tx","4817216","Cotulla","true","CONDITIONAL"
"williamson-tx","4817312","Coupland","true","CONDITIONAL"
"chambers-tx","4817336","Cove","true","CONDITIONAL"
"hill-tx","4817372","Covington","true","CONDITIONAL"
"pecos-tx","4817408","Coyanosa","true","CONDITIONAL"
"jim-wells-tx","4817426","Coyote Acres","true","CONDITIONAL"
"johnson-tx","4817429","Coyote Flats","true","CONDITIONAL"
"kaufman-tx","4817504","Crandall","true","CONDITIONAL"
"crane-tx","4817516","Crane","true","CONDITIONAL"
"bosque-tx","4817540","Cranfills Gap","true","CONDITIONAL"
"mclennan-tx","4817564","Crawford","true","CONDITIONAL"
"hays-tx","4817612","Creedmoor","true","CONDITIONAL"
"travis-tx","4817612","Creedmoor","true","CONDITIONAL"
"hood-tx","4817648","Cresson","true","CONDITIONAL"
"johnson-tx","4817648","Cresson","true","CONDITIONAL"
"parker-tx","4817648","Cresson","true","CONDITIONAL"
"houston-tx","4817744","Crockett","true","CONDITIONAL"
"harris-tx","4817756","Crosby","true","CONDITIONAL"
"crosby-tx","4817768","Crosbyton","true","CONDITIONAL"
"bexar-tx","4817811","Cross Mountain","true","CONDITIONAL"
"callahan-tx","4817816","Cross Plains","true","CONDITIONAL"
"denton-tx","4817852","Cross Roads","true","CONDITIONAL"
"johnson-tx","4817917","Cross Timber","true","CONDITIONAL"
"foard-tx","4817948","Crowell","true","CONDITIONAL"
"johnson-tx","4817960","Crowley","true","CONDITIONAL"
"tarrant-tx","4817960","Crowley","true","CONDITIONAL"
"zavala-tx","4818020","Crystal City","true","CONDITIONAL"
"dewitt-tx","4818092","Cuero","true","CONDITIONAL"
"hidalgo-tx","4818104","Cuevitas","true","CONDITIONAL"
"hopkins-tx","4818128","Cumby","true","CONDITIONAL"
"fort-bend-tx","4818134","Cumings","true","CONDITIONAL"
"cherokee-tx","4818152","Cuney","true","CONDITIONAL"
"nacogdoches-tx","4818224","Cushing","true","CONDITIONAL"
"montgomery-tx","4818260","Cut and Shoot","true","CONDITIONAL"
"morris-tx","4818464","Daingerfield","true","CONDITIONAL"
"liberty-tx","4818476","Daisetta","true","CONDITIONAL"
"dallam-tx","4818524","Dalhart","true","CONDITIONAL"
"hartley-tx","4818524","Dalhart","true","CONDITIONAL"
"collin-tx","4819000","Dallas","true","CONDITIONAL"
"dallas-tx","4819000","Dallas","true","CONDITIONAL"
"denton-tx","4819000","Dallas","true","CONDITIONAL"
"kaufman-tx","4819000","Dallas","true","CONDITIONAL"
"rockwall-tx","4819000","Dallas","true","CONDITIONAL"
"tarrant-tx","4819084","Dalworthington Gardens","true","CONDITIONAL"
"brazoria-tx","4819108","Damon","true","CONDITIONAL"
"brazoria-tx","4819120","Danbury","true","CONDITIONAL"
"lipscomb-tx","4819288","Darrouzett","true","CONDITIONAL"
"navarro-tx","4819420","Dawson","true","CONDITIONAL"
"liberty-tx","4819432","Dayton","true","CONDITIONAL"
"liberty-tx","4819435","Dayton Lakes","true","CONDITIONAL"
"clay-tx","4819456","Dean","true","CONDITIONAL"
"burleson-tx","4819492","Deanville","true","CONDITIONAL"
"wise-tx","4819528","Decatur","true","CONDITIONAL"
"hood-tx","4819570","DeCordova","true","CONDITIONAL"
"harris-tx","4819624","Deer Park","true","CONDITIONAL"
"montgomery-tx","4819632","Deerwood","true","CONDITIONAL"
"bowie-tx","4819648","De Kalb","true","CONDITIONAL"
"comanche-tx","4819672","De Leon","true","CONDITIONAL"
"hudspeth-tx","4819708","Dell City","true","CONDITIONAL"
"cameron-tx","4819714","Del Mar Heights","true","CONDITIONAL"
"starr-tx","4819732","Delmita","true","CONDITIONAL"
"val-verde-tx","4819792","Del Rio","true","CONDITIONAL"
"san-patricio-tx","4819808","Del Sol","true","CONDITIONAL"
"grayson-tx","4819900","Denison","true","CONDITIONAL"
"parker-tx","4819924","Dennis","true","CONDITIONAL"
"denton-tx","4819972","Denton","true","CONDITIONAL"
"gaines-tx","4819984","Denver City","true","CONDITIONAL"
"yoakum-tx","4819984","Denver City","true","CONDITIONAL"
"lamar-tx","4820020","Deport","true","CONDITIONAL"
"red-river-tx","4820020","Deport","true","CONDITIONAL"
"dallas-tx","4820092","DeSoto","true","CONDITIONAL"
"red-river-tx","4820128","Detroit","true","CONDITIONAL"
"liberty-tx","4820140","Devers","true","CONDITIONAL"
"medina-tx","4820152","Devine","true","CONDITIONAL"
"newton-tx","4820212","Deweyville","true","CONDITIONAL"
"medina-tx","4820248","D'Hanis","true","CONDITIONAL"
