canonicalCommunity,canonicalPlaceId,membershipAuthorityAvailable,membershipAuthorityReason,membershipApplicability,membershipCount,membershipCountyFips,membershipCountyIds,membershipCountyNames,unresolvedCountyFips,duplicateCountyFips,duplicateCountyIds,operationalProjectionMembershipCount,operationalProjectionCountyIds,operationalProjectionThinnerThanRegistry,crossingCanonicalPlaceAvailable,officialRoadwayConsumerAvailable,weatherConsumerAvailable,membershipAuthorityPass
Alamo Heights,4801600,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48029,bexar-tx,Bexar County,,,,1,bexar-tx,false,true,true,true,true
Alanreed,4801612,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48179,gray-tx,Gray County,,,,1,gray-tx,false,true,true,true,true
Alba,4801636,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,MULTI_COUNTY_CONVERGENCE,2,48379|48499,rains-tx|wood-tx,Rains County|Wood County,,,,2,rains-tx|wood-tx,false,true,true,true,true
Albany,4801648,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48417,shackelford-tx,Shackelford County,,,,1,shackelford-tx,false,true,true,true,true
Aldine,4801696,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48201,harris-tx,Harris County,,,,1,harris-tx,false,true,true,true,true
Aledo,4801744,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48367,parker-tx,Parker County,,,,1,parker-tx,false,true,true,true,true
Alfred,4801816,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48249,jim-wells-tx,Jim Wells County,,,,1,jim-wells-tx,false,true,true,true,true
Alice,4801852,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48249,jim-wells-tx,Jim Wells County,,,,1,jim-wells-tx,false,true,true,true,true
Alice Acres,4801858,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48249,jim-wells-tx,Jim Wells County,,,,1,jim-wells-tx,false,true,true,true,true
Allen,4801924,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48085,collin-tx,Collin County,,,,1,collin-tx,false,true,true,true,true
Allison,4802032,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48483,wheeler-tx,Wheeler County,,,,1,wheeler-tx,false,true,true,true,true
Alma,4802044,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48139,ellis-tx,Ellis County,,,,1,ellis-tx,false,true,true,true,true
Alpine,4802104,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48043,brewster-tx,Brewster County,,,,1,brewster-tx,false,true,true,true,true
Alto,4802188,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48073,cherokee-tx,Cherokee County,,,,1,cherokee-tx,false,true,true,true,true
Alto Bonito Heights,4802194,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48427,starr-tx,Starr County,,,,1,starr-tx,false,true,true,true,true
Alton,4802212,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48215,hidalgo-tx,Hidalgo County,,,,1,hidalgo-tx,false,true,true,true,true
Alvarado,4802260,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48251,johnson-tx,Johnson County,,,,1,johnson-tx,false,true,true,true,true
Alvin,4802272,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48039,brazoria-tx,Brazoria County,,,,1,brazoria-tx,false,true,true,true,true
Alvord,4802284,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48497,wise-tx,Wise County,,,,1,wise-tx,false,true,true,true,true
Amada Acres,4802286,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48427,starr-tx,Starr County,,,,1,starr-tx,false,true,true,true,true
Amargosa,4802290,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48249,jim-wells-tx,Jim Wells County,,,,1,jim-wells-tx,false,true,true,true,true
Amarillo,4803000,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,MULTI_COUNTY_CONVERGENCE,2,48375|48381,potter-tx|randall-tx,Potter County|Randall County,,,,2,potter-tx|randall-tx,false,true,true,true,true
Amaya,4803008,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48507,zavala-tx,Zavala County,,,,1,zavala-tx,false,true,true,true,true
Ames,4803072,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48291,liberty-tx,Liberty County,,,,1,liberty-tx,false,true,true,true,true
Amherst,4803084,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48279,lamb-tx,Lamb County,,,,1,lamb-tx,false,true,true,true,true
Amistad,4803096,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48465,val-verde-tx,Val Verde County,,,,1,val-verde-tx,false,true,true,true,true
Anacua,4803126,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48427,starr-tx,Starr County,,,,1,starr-tx,false,true,true,true,true
Anahuac,4803144,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48071,chambers-tx,Chambers County,,,,1,chambers-tx,false,true,true,true,true
Anderson,4803192,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48185,grimes-tx,Grimes County,,,,1,grimes-tx,false,true,true,true,true
Andrews,4803216,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48003,andrews-tx,Andrews County,,,,1,andrews-tx,false,true,true,true,true
Angleton,4803264,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48039,brazoria-tx,Brazoria County,,,,1,brazoria-tx,false,true,true,true,true
Angus,4803288,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48349,navarro-tx,Navarro County,,,,1,navarro-tx,false,true,true,true,true
Anna,4803300,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48085,collin-tx,Collin County,,,,1,collin-tx,false,true,true,true,true
Annetta,4803336,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48367,parker-tx,Parker County,,,,1,parker-tx,false,true,true,true,true
Annetta North,4803340,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48367,parker-tx,Parker County,,,,1,parker-tx,false,true,true,true,true
Annetta South,4803342,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48367,parker-tx,Parker County,,,,1,parker-tx,false,true,true,true,true
Annona,4803360,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48387,red-river-tx,Red River County,,,,1,red-river-tx,false,true,true,true,true
Anson,4803372,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48253,jones-tx,Jones County,,,,1,jones-tx,false,true,true,true,true
Anthony,4803432,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48141,el-paso-tx,El Paso County,,,,1,el-paso-tx,false,true,true,true,true
Anton,4803540,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48219,hockley-tx,Hockley County,,,,1,hockley-tx,false,true,true,true,true
Appleby,4803564,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48347,nacogdoches-tx,Nacogdoches County,,,,1,nacogdoches-tx,false,true,true,true,true
Aquilla,4803588,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48217,hill-tx,Hill County,,,,1,hill-tx,false,true,true,true,true
Aransas Pass,4803600,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,MULTI_COUNTY_CONVERGENCE,3,48007|48355|48409,aransas-tx|nueces-tx|san-patricio-tx,Aransas County|Nueces County|San Patricio County,,,,3,aransas-tx|nueces-tx|san-patricio-tx,false,true,true,true,true
Archer City,4803696,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48009,archer-tx,Archer County,,,,1,archer-tx,false,true,true,true,true
Arcola,4803708,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48157,fort-bend-tx,Fort Bend County,,,,1,fort-bend-tx,false,true,true,true,true
Argyle,4803768,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48121,denton-tx,Denton County,,,,1,denton-tx,false,true,true,true,true
Arlington,4804000,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48439,tarrant-tx,Tarrant County,,,,1,tarrant-tx,false,true,true,true,true
Arp,4804156,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48423,smith-tx,Smith County,,,,1,smith-tx,false,true,true,true,true
Arroyo Colorado Estates,4804174,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48061,cameron-tx,Cameron County,,,,1,cameron-tx,false,true,true,true,true
Arroyo Gardens,4804176,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48061,cameron-tx,Cameron County,,,,1,cameron-tx,false,true,true,true,true
Asherton,4804300,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48127,dimmit-tx,Dimmit County,,,,1,dimmit-tx,false,true,true,true,true
Aspermont,4804408,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48433,stonewall-tx,Stonewall County,,,,1,stonewall-tx,false,true,true,true,true
Atascocita,4804462,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48201,harris-tx,Harris County,,,,1,harris-tx,false,true,true,true,true
Athens,4804504,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48213,henderson-tx,Henderson County,,,,1,henderson-tx,false,true,true,true,true
Atlanta,4804516,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48067,cass-tx,Cass County,,,,1,cass-tx,false,true,true,true,true
Aubrey,4804600,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48121,denton-tx,Denton County,,,,1,denton-tx,false,true,true,true,true
Aurora,4804672,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48497,wise-tx,Wise County,,,,1,wise-tx,false,true,true,true,true
Austin,4805000,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,MULTI_COUNTY_CONVERGENCE,4,48021|48209|48453|48491,bastrop-tx|hays-tx|travis-tx|williamson-tx,Bastrop County|Hays County|Travis County|Williamson County,,,,4,bastrop-tx|hays-tx|travis-tx|williamson-tx,false,true,true,true,true
Austwell,4805036,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48391,refugio-tx,Refugio County,,,,1,refugio-tx,false,true,true,true,true
Avery,4805072,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48387,red-river-tx,Red River County,,,,1,red-river-tx,false,true,true,true,true
Avinger,4805084,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48067,cass-tx,Cass County,,,,1,cass-tx,false,true,true,true,true
Azle,4805168,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,MULTI_COUNTY_CONVERGENCE,2,48367|48439,parker-tx|tarrant-tx,Parker County|Tarrant County,,,,2,parker-tx|tarrant-tx,false,true,true,true,true
Bacliff,4805180,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48167,galveston-tx,Galveston County,,,,1,galveston-tx,false,true,true,true,true
Bailey,4805264,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48147,fannin-tx,Fannin County,,,,1,fannin-tx,false,true,true,true,true
Bailey's Prairie,4805288,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48039,brazoria-tx,Brazoria County,,,,1,brazoria-tx,false,true,true,true,true
Baird,4805336,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48059,callahan-tx,Callahan County,,,,1,callahan-tx,false,true,true,true,true
Balch Springs,4805372,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48113,dallas-tx,Dallas County,,,,1,dallas-tx,false,true,true,true,true
Balcones Heights,4805384,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48029,bexar-tx,Bexar County,,,,1,bexar-tx,false,true,true,true,true
Ballinger,4805456,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48399,runnels-tx,Runnels County,,,,1,runnels-tx,false,true,true,true,true
Balmorhea,4805468,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48389,reeves-tx,Reeves County,,,,1,reeves-tx,false,true,true,true,true
B and E,4805520,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48427,starr-tx,Starr County,,,,1,starr-tx,false,true,true,true,true
Bandera,4805528,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48019,bandera-tx,Bandera County,,,,1,bandera-tx,false,true,true,true,true
Bangs,4805552,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48049,brown-tx,Brown County,,,,1,brown-tx,false,true,true,true,true
Banquete,4805576,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48355,nueces-tx,Nueces County,,,,1,nueces-tx,false,true,true,true,true
Bardwell,4805612,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48139,ellis-tx,Ellis County,,,,1,ellis-tx,false,true,true,true,true
Barksdale,4805648,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48137,edwards-tx,Edwards County,,,,1,edwards-tx,false,true,true,true,true
Barrera,4805690,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48427,starr-tx,Starr County,,,,1,starr-tx,false,true,true,true,true
Barrett,4805696,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48201,harris-tx,Harris County,,,,1,harris-tx,false,true,true,true,true
Barry,4805708,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48349,navarro-tx,Navarro County,,,,1,navarro-tx,false,true,true,true,true
Barstow,4805720,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48475,ward-tx,Ward County,,,,1,ward-tx,false,true,true,true,true
Bartlett,4805732,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,MULTI_COUNTY_CONVERGENCE,2,48027|48491,bell-tx|williamson-tx,Bell County|Williamson County,,,,2,bell-tx|williamson-tx,false,true,true,true,true
Barton Creek,4805750,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48453,travis-tx,Travis County,,,,1,travis-tx,false,true,true,true,true
Bartonville,4805768,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48121,denton-tx,Denton County,,,,1,denton-tx,false,true,true,true,true
Bastrop,4805864,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48021,bastrop-tx,Bastrop County,,,,1,bastrop-tx,false,true,true,true,true
Batesville,4805924,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48507,zavala-tx,Zavala County,,,,1,zavala-tx,false,true,true,true,true
Bay City,4805984,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48321,matagorda-tx,Matagorda County,,,,1,matagorda-tx,false,true,true,true,true
Bayou Vista,4806060,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48167,galveston-tx,Galveston County,,,,1,galveston-tx,false,true,true,true,true
Bayside,4806104,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48391,refugio-tx,Refugio County,,,,1,refugio-tx,false,true,true,true,true
Baytown,4806128,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,MULTI_COUNTY_CONVERGENCE,2,48071|48201,chambers-tx|harris-tx,Chambers County|Harris County,,,,2,chambers-tx|harris-tx,false,true,true,true,true
Bayview,4806140,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48061,cameron-tx,Cameron County,,,,1,cameron-tx,false,true,true,true,true
Beach City,4806200,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48071,chambers-tx,Chambers County,,,,1,chambers-tx,false,true,true,true,true
Bear Creek,4806242,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48209,hays-tx,Hays County,,,,1,hays-tx,false,true,true,true,true
Bear Creek Ranch,4806244,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48113,dallas-tx,Dallas County,,,,1,dallas-tx,false,true,true,true,true
Beasley,4806272,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48157,fort-bend-tx,Fort Bend County,,,,1,fort-bend-tx,false,true,true,true,true
Beaumont,4807000,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48245,jefferson-tx,Jefferson County,,,,1,jefferson-tx,false,true,true,true,true
Beauxart Gardens,4807036,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48245,jefferson-tx,Jefferson County,,,,1,jefferson-tx,false,true,true,true,true
Beaver Creek,4807042,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48051,burleson-tx,Burleson County,,,,1,burleson-tx,false,true,true,true,true
Beckville,4807108,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48365,panola-tx,Panola County,,,,1,panola-tx,false,true,true,true,true
Bedford,4807132,true,EXACT_CANONICAL_PLACE_REGISTRY_ROW_GOVERNED_COUNTY_FIPS,SINGLE_COUNTY_CONTROL,1,48439,tarrant-tx,Tarrant County,,,,1,tarrant-tx,false,true,true,true,true
