"original_failure_id","code","county_id","place_geoid","status","proof"
"LP24449-0026","SEARCH_NOT_FOUND","starr-tx","4864316","FIXED","search-recertification.json|visible-search.json"
"LP24449-0027","SEARCH_NOT_FOUND","starr-tx","4864322","FIXED","search-recertification.json|visible-search.json"
"LP24449-0028","HOME_BASELINE_WRONG_CONTEXT","nueces-tx","4865342","FIXED","nueces-baseline-replay.json"
"LP24449-0029","SEARCH_NOT_FOUND","harris-tx","4869272","FIXED","search-recertification.json|visible-search.json"
"LP24449-0030","HOME_BASELINE_WRONG_CONTEXT","nueces-tx","4869708","FIXED","nueces-baseline-replay.json"
"LP24449-0031","HOME_BASELINE_WRONG_CONTEXT","nueces-tx","4872952","FIXED","nueces-baseline-replay.json"
"LP24449-0032","HOME_BASELINE_WRONG_CONTEXT","nueces-tx","4872954","FIXED","nueces-baseline-replay.json"
"LP24449-0033","SEARCH_NOT_FOUND","harris-tx","4877956","FIXED","search-recertification.json|visible-search.json"
"LP24449-0034","HOME_CHOICE_IDENTITY_BINDING_LOSS","lubbock-tx","4800160","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0035","HOME_CHOICE_IDENTITY_BINDING_LOSS","taylor-tx","4801000","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0036","HOME_CHOICE_IDENTITY_BINDING_LOSS","martin-tx","4801108","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0037","HOME_CHOICE_IDENTITY_BINDING_LOSS","nueces-tx","4801396","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0038","HOME_MEMBERSHIP_WRONG_CONTEXT","nueces-tx","4801396","FIXED","home-browser-results.json"
"LP24449-0039","WEATHER_WRONG_LOCALITY","nueces-tx","4801396","FIXED","home-browser-results.json|weather-locality-recertification.json"
"LP24449-0040","HOME_MEMBERSHIP_WRONG_CONTEXT","nueces-tx","4801396","FIXED","home-browser-results.json"
"LP24449-0041","HOME_MEMBERSHIP_WRONG_CONTEXT","nueces-tx","4801396","FIXED","home-browser-results.json"
"LP24449-0042","SEARCH_PUBLICATION_FAILED","brooks-tx","4801514","FIXED","search-recertification.json|visible-search.json"
"LP24449-0043","HOME_CHOICE_IDENTITY_BINDING_LOSS","wood-tx","4801636","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0044","HOME_CHOICE_IDENTITY_BINDING_LOSS","randall-tx","4803000","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0045","HOME_CHOICE_IDENTITY_BINDING_LOSS","nueces-tx","4803600","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0046","HOME_CHOICE_IDENTITY_BINDING_LOSS","san-patricio-tx","4803600","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0047","HOME_CHOICE_IDENTITY_BINDING_LOSS","hays-tx","4805000","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0048","HOME_CHOICE_IDENTITY_BINDING_LOSS","travis-tx","4805000","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0049","HOME_CHOICE_IDENTITY_BINDING_LOSS","williamson-tx","4805000","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0050","HOME_CHOICE_IDENTITY_BINDING_LOSS","tarrant-tx","4805168","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0051","HOME_CHOICE_IDENTITY_BINDING_LOSS","williamson-tx","4805732","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0052","HOME_CHOICE_IDENTITY_BINDING_LOSS","harris-tx","4806128","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0053","HOME_CHOICE_IDENTITY_BINDING_LOSS","polk-tx","4808240","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0054","HOME_CHOICE_IDENTITY_BINDING_LOSS","nolan-tx","4808488","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0055","HOME_CHOICE_IDENTITY_BINDING_LOSS","ochiltree-tx","4809448","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0056","SEARCH_PUBLICATION_FAILED","palo-pinto-tx","4810084","FIXED","search-recertification.json|visible-search.json"
"LP24449-0057","HOME_CHOICE_IDENTITY_BINDING_LOSS","tarrant-tx","4810192","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0058","HOME_CHOICE_IDENTITY_BINDING_LOSS","wise-tx","4810192","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0059","HOME_CHOICE_IDENTITY_BINDING_LOSS","mclennan-tx","4810828","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0060","HOME_CHOICE_IDENTITY_BINDING_LOSS","cherokee-tx","4811212","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0061","HOME_CHOICE_IDENTITY_BINDING_LOSS","tarrant-tx","4811428","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0062","HOME_CHOICE_IDENTITY_BINDING_LOSS","randall-tx","4811572","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0063","SEARCH_PUBLICATION_FAILED","cameron-tx","4812045","FIXED","search-recertification.json|visible-search.json"
"LP24449-0064","HOME_CHOICE_IDENTITY_BINDING_LOSS","dallas-tx","4813024","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0065","HOME_CHOICE_IDENTITY_BINDING_LOSS","denton-tx","4813024","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0066","SEARCH_PUBLICATION_FAILED","wichita-tx","4813198","FIXED","search-recertification.json|visible-search.json"
"LP24449-0067","HOME_CHOICE_IDENTITY_BINDING_LOSS","dallas-tx","4813492","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0068","HOME_CHOICE_IDENTITY_BINDING_LOSS","williamson-tx","4813552","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0069","HOME_CHOICE_IDENTITY_BINDING_LOSS","denton-tx","4813684","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0070","SEARCH_PUBLICATION_FAILED","hidalgo-tx","4814038","FIXED","search-recertification.json|visible-search.json"
"LP24449-0071","HOME_CHOICE_IDENTITY_BINDING_LOSS","cameron-tx","4814880","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0072","HOME_MEMBERSHIP_WRONG_CONTEXT","cameron-tx","4814880","FIXED","home-browser-results.json"
"LP24449-0073","WEATHER_WRONG_LOCALITY","cameron-tx","4814880","FIXED","home-browser-results.json|weather-locality-recertification.json"
"LP24449-0074","HOME_MEMBERSHIP_WRONG_CONTEXT","cameron-tx","4814880","FIXED","home-browser-results.json"
"LP24449-0075","HOME_MEMBERSHIP_WRONG_CONTEXT","cameron-tx","4814880","FIXED","home-browser-results.json"
"LP24449-0076","HOME_CHOICE_IDENTITY_BINDING_LOSS","zavala-tx","4814882","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0077","HOME_MEMBERSHIP_WRONG_CONTEXT","zavala-tx","4814882","FIXED","home-browser-results.json"
"LP24449-0078","WEATHER_WRONG_LOCALITY","zavala-tx","4814882","FIXED","home-browser-results.json|weather-locality-recertification.json"
"LP24449-0079","HOME_MEMBERSHIP_WRONG_CONTEXT","zavala-tx","4814882","FIXED","home-browser-results.json"
"LP24449-0080","HOME_MEMBERSHIP_WRONG_CONTEXT","zavala-tx","4814882","FIXED","home-browser-results.json"
"LP24449-0081","HOME_CHOICE_IDENTITY_BINDING_LOSS","guadalupe-tx","4814920","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0082","SEARCH_PUBLICATION_FAILED","val-verde-tx","4814927","FIXED","search-recertification.json|visible-search.json"
"LP24449-0083","HOME_CHOICE_IDENTITY_BINDING_LOSS","fort-bend-tx","4814929","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0084","SEARCH_PUBLICATION_FAILED","bastrop-tx","4814986","FIXED","search-recertification.json|visible-search.json"
"LP24449-0085","HOME_CHOICE_IDENTITY_BINDING_LOSS","upshur-tx","4815172","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0086","HOME_CHOICE_IDENTITY_BINDING_LOSS","montgomery-tx","4815436","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0087","HOME_CHOICE_IDENTITY_BINDING_LOSS","san-jacinto-tx","4815436","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0088","SEARCH_PUBLICATION_FAILED","brazos-tx","4815976","FIXED","search-recertification.json|visible-search.json"
"LP24449-0089","HOME_CHOICE_IDENTITY_BINDING_LOSS","dallas-tx","4816216","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0090","HOME_CHOICE_IDENTITY_BINDING_LOSS","denton-tx","4816612","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0091","HOME_CHOICE_IDENTITY_BINDING_LOSS","coryell-tx","4816624","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0092","HOME_CHOICE_IDENTITY_BINDING_LOSS","lampasas-tx","4816624","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0093","HOME_CHOICE_IDENTITY_BINDING_LOSS","kleberg-tx","4817000","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0094","HOME_CHOICE_IDENTITY_BINDING_LOSS","nueces-tx","4817000","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0095","HOME_CHOICE_IDENTITY_BINDING_LOSS","san-patricio-tx","4817000","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0096","HOME_CHOICE_IDENTITY_BINDING_LOSS","travis-tx","4817612","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0097","HOME_CHOICE_IDENTITY_BINDING_LOSS","johnson-tx","4817648","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0098","HOME_CHOICE_IDENTITY_BINDING_LOSS","parker-tx","4817648","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0099","HOME_CHOICE_IDENTITY_BINDING_LOSS","tarrant-tx","4817960","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0100","HOME_CHOICE_IDENTITY_BINDING_LOSS","hartley-tx","4818524","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0101","HOME_CHOICE_IDENTITY_BINDING_LOSS","dallas-tx","4819000","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0102","HOME_CHOICE_IDENTITY_BINDING_LOSS","denton-tx","4819000","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0103","HOME_CHOICE_IDENTITY_BINDING_LOSS","kaufman-tx","4819000","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0104","HOME_CHOICE_IDENTITY_BINDING_LOSS","rockwall-tx","4819000","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0105","HOME_CHOICE_IDENTITY_BINDING_LOSS","yoakum-tx","4819984","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0106","HOME_CHOICE_IDENTITY_BINDING_LOSS","red-river-tx","4820020","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0107","HOME_CHOICE_IDENTITY_BINDING_LOSS","upshur-tx","4822168","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0108","HOME_CHOICE_IDENTITY_BINDING_LOSS","rusk-tx","4822192","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0109","SEARCH_PUBLICATION_FAILED","maverick-tx","4822810","FIXED","search-recertification.json|visible-search.json"
"LP24449-0110","HOME_CHOICE_IDENTITY_BINDING_LOSS","webb-tx","4822905","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0111","HOME_MEMBERSHIP_WRONG_CONTEXT","webb-tx","4822905","FIXED","home-browser-results.json"
"LP24449-0112","WEATHER_WRONG_LOCALITY","webb-tx","4822905","FIXED","home-browser-results.json|weather-locality-recertification.json"
"LP24449-0113","HOME_MEMBERSHIP_WRONG_CONTEXT","webb-tx","4822905","FIXED","home-browser-results.json"
"LP24449-0114","HOME_MEMBERSHIP_WRONG_CONTEXT","webb-tx","4822905","FIXED","home-browser-results.json"
"LP24449-0115","HOME_CHOICE_IDENTITY_BINDING_LOSS","travis-tx","4823044","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0116","HOME_CHOICE_IDENTITY_BINDING_LOSS","wilson-tx","4823272","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0117","HOME_CHOICE_IDENTITY_BINDING_LOSS","hamilton-tx","4824864","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0118","HOME_CHOICE_IDENTITY_BINDING_LOSS","comal-tx","4825168","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0119","HOME_CHOICE_IDENTITY_BINDING_LOSS","kendall-tx","4825168","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0120","HOME_CHOICE_IDENTITY_BINDING_LOSS","dallas-tx","4825752","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0121","SEARCH_PUBLICATION_FAILED","fort-bend-tx","4825795","FIXED","search-recertification.json|visible-search.json"
"LP24449-0122","HOME_CHOICE_IDENTITY_BINDING_LOSS","denton-tx","4826232","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0123","HOME_CHOICE_IDENTITY_BINDING_LOSS","coryell-tx","4826666","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0124","HOME_CHOICE_IDENTITY_BINDING_LOSS","denton-tx","4827000","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0125","HOME_CHOICE_IDENTITY_BINDING_LOSS","parker-tx","4827000","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0126","HOME_CHOICE_IDENTITY_BINDING_LOSS","tarrant-tx","4827000","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0127","HOME_CHOICE_IDENTITY_BINDING_LOSS","wise-tx","4827000","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0128","HOME_CHOICE_IDENTITY_BINDING_LOSS","henderson-tx","4827300","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0129","MULTICOUNTY_WRONG_MEMBERSHIP","henderson-tx","4827300","FIXED","home-browser-results.json"
"LP24449-0130","MULTICOUNTY_WRONG_MEMBERSHIP","henderson-tx","4827300","FIXED","home-browser-results.json"
"LP24449-0131","HOME_CHOICE_IDENTITY_BINDING_LOSS","galveston-tx","4827648","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0132","HOME_CHOICE_IDENTITY_BINDING_LOSS","denton-tx","4827684","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0133","HOME_CHOICE_IDENTITY_BINDING_LOSS","moore-tx","4827696","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0134","HOME_CHOICE_IDENTITY_BINDING_LOSS","dallas-tx","4829000","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0135","HOME_CHOICE_IDENTITY_BINDING_LOSS","upshur-tx","4829660","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0136","HOME_CHOICE_IDENTITY_BINDING_LOSS","dallas-tx","4829840","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0137","HOME_CHOICE_IDENTITY_BINDING_LOSS","mclennan-tx","4830092","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0138","HOME_CHOICE_IDENTITY_BINDING_LOSS","dallas-tx","4830464","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0139","HOME_CHOICE_IDENTITY_BINDING_LOSS","johnson-tx","4830464","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0140","HOME_CHOICE_IDENTITY_BINDING_LOSS","tarrant-tx","4830464","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0141","HOME_CHOICE_IDENTITY_BINDING_LOSS","dallas-tx","4830644","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0142","HOME_CHOICE_IDENTITY_BINDING_LOSS","denton-tx","4830644","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0143","HOME_CHOICE_IDENTITY_BINDING_LOSS","jones-tx","4831964","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0144","HOME_CHOICE_IDENTITY_BINDING_LOSS","swisher-tx","4832156","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0145","HOME_CHOICE_IDENTITY_BINDING_LOSS","denton-tx","4832720","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0146","HOME_CHOICE_IDENTITY_BINDING_LOSS","rockwall-tx","4832984","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0147","HOME_CHOICE_IDENTITY_BINDING_LOSS","denton-tx","4833020","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0148","HOME_CHOICE_IDENTITY_BINDING_LOSS","hamilton-tx","4833548","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0149","HOME_CHOICE_IDENTITY_BINDING_LOSS","starr-tx","4834133","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0150","HOME_MEMBERSHIP_WRONG_CONTEXT","starr-tx","4834133","FIXED","home-browser-results.json"
"LP24449-0151","WEATHER_WRONG_LOCALITY","starr-tx","4834133","FIXED","home-browser-results.json|weather-locality-recertification.json"
"LP24449-0152","HOME_MEMBERSHIP_WRONG_CONTEXT","starr-tx","4834133","FIXED","home-browser-results.json"
"LP24449-0153","HOME_MEMBERSHIP_WRONG_CONTEXT","starr-tx","4834133","FIXED","home-browser-results.json"
"LP24449-0154","HOME_CHOICE_IDENTITY_BINDING_LOSS","llano-tx","4834862","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0155","HOME_CHOICE_IDENTITY_BINDING_LOSS","fort-bend-tx","4835000","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0156","HOME_CHOICE_IDENTITY_BINDING_LOSS","harris-tx","4835000","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0157","HOME_CHOICE_IDENTITY_BINDING_LOSS","waller-tx","4835000","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0158","HOME_CHOICE_IDENTITY_BINDING_LOSS","morris-tx","4835300","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0159","HOME_CHOICE_IDENTITY_BINDING_LOSS","san-patricio-tx","4836008","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0160","HOME_CHOICE_IDENTITY_BINDING_LOSS","hunt-tx","4838068","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0161","HOME_CHOICE_IDENTITY_BINDING_LOSS","fort-bend-tx","4838476","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0162","HOME_CHOICE_IDENTITY_BINDING_LOSS","waller-tx","4838476","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0163","HOME_CHOICE_IDENTITY_BINDING_LOSS","rusk-tx","4839124","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0164","HOME_CHOICE_IDENTITY_BINDING_LOSS","travis-tx","4840264","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0165","HOME_MEMBERSHIP_WRONG_CONTEXT","travis-tx","4840264","FIXED","home-browser-results.json"
"LP24449-0166","WEATHER_WRONG_LOCALITY","travis-tx","4840264","FIXED","home-browser-results.json|weather-locality-recertification.json"
"LP24449-0167","HOME_MEMBERSHIP_WRONG_CONTEXT","travis-tx","4840264","FIXED","home-browser-results.json"
"LP24449-0168","HOME_MEMBERSHIP_WRONG_CONTEXT","travis-tx","4840264","FIXED","home-browser-results.json"
"LP24449-0169","HOME_CHOICE_IDENTITY_BINDING_LOSS","rusk-tx","4840468","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0170","HOME_CHOICE_IDENTITY_BINDING_LOSS","medina-tx","4840674","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0171","HOME_CHOICE_IDENTITY_BINDING_LOSS","tarrant-tx","4840744","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0172","HOME_MEMBERSHIP_WRONG_CONTEXT","tarrant-tx","4840744","FIXED","home-browser-results.json"
"LP24449-0173","WEATHER_WRONG_LOCALITY","tarrant-tx","4840744","FIXED","home-browser-results.json|weather-locality-recertification.json"
"LP24449-0174","HOME_MEMBERSHIP_WRONG_CONTEXT","tarrant-tx","4840744","FIXED","home-browser-results.json"
"LP24449-0175","HOME_MEMBERSHIP_WRONG_CONTEXT","tarrant-tx","4840744","FIXED","home-browser-results.json"
"LP24449-0176","HOME_CHOICE_IDENTITY_BINDING_LOSS","galveston-tx","4841980","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0177","HOME_CHOICE_IDENTITY_BINDING_LOSS","williamson-tx","4842016","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0178","HOME_CHOICE_IDENTITY_BINDING_LOSS","denton-tx","4842508","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0179","HOME_CHOICE_IDENTITY_BINDING_LOSS","reeves-tx","4842874","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0180","HOME_MEMBERSHIP_WRONG_CONTEXT","reeves-tx","4842874","FIXED","home-browser-results.json"
"LP24449-0181","WEATHER_WRONG_LOCALITY","reeves-tx","4842874","FIXED","home-browser-results.json|weather-locality-recertification.json"
"LP24449-0182","HOME_MEMBERSHIP_WRONG_CONTEXT","reeves-tx","4842874","FIXED","home-browser-results.json"
"LP24449-0183","HOME_MEMBERSHIP_WRONG_CONTEXT","reeves-tx","4842874","FIXED","home-browser-results.json"
"LP24449-0184","HOME_CHOICE_IDENTITY_BINDING_LOSS","starr-tx","4843463","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0185","HOME_MEMBERSHIP_WRONG_CONTEXT","starr-tx","4843463","FIXED","home-browser-results.json"
"LP24449-0186","WEATHER_WRONG_LOCALITY","starr-tx","4843463","FIXED","home-browser-results.json|weather-locality-recertification.json"
"LP24449-0187","HOME_MEMBERSHIP_WRONG_CONTEXT","starr-tx","4843463","FIXED","home-browser-results.json"
"LP24449-0188","HOME_MEMBERSHIP_WRONG_CONTEXT","starr-tx","4843463","FIXED","home-browser-results.json"
"LP24449-0189","HOME_CHOICE_IDENTITY_BINDING_LOSS","harrison-tx","4843888","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0190","SEARCH_PUBLICATION_FAILED","zapata-tx","4843960","FIXED","search-recertification.json|visible-search.json"
"LP24449-0191","HOME_CHOICE_IDENTITY_BINDING_LOSS","starr-tx","4844110","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0192","HOME_MEMBERSHIP_WRONG_CONTEXT","starr-tx","4844110","FIXED","home-browser-results.json"
"LP24449-0193","WEATHER_WRONG_LOCALITY","starr-tx","4844110","FIXED","home-browser-results.json|weather-locality-recertification.json"
"LP24449-0194","HOME_MEMBERSHIP_WRONG_CONTEXT","starr-tx","4844110","FIXED","home-browser-results.json"
"LP24449-0195","HOME_MEMBERSHIP_WRONG_CONTEXT","starr-tx","4844110","FIXED","home-browser-results.json"
"LP24449-0196","HOME_CHOICE_IDENTITY_BINDING_LOSS","cameron-tx","4844116","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0197","HOME_MEMBERSHIP_WRONG_CONTEXT","cameron-tx","4844116","FIXED","home-browser-results.json"
"LP24449-0198","WEATHER_WRONG_LOCALITY","cameron-tx","4844116","FIXED","home-browser-results.json|weather-locality-recertification.json"
"LP24449-0199","HOME_MEMBERSHIP_WRONG_CONTEXT","cameron-tx","4844116","FIXED","home-browser-results.json"
"LP24449-0200","HOME_MEMBERSHIP_WRONG_CONTEXT","cameron-tx","4844116","FIXED","home-browser-results.json"
"LP24449-0201","HOME_CHOICE_IDENTITY_BINDING_LOSS","shackelford-tx","4845048","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0202","HOME_CHOICE_IDENTITY_BINDING_LOSS","guadalupe-tx","4845096","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0203","HOME_CHOICE_IDENTITY_BINDING_LOSS","bexar-tx","4845288","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0204","HOME_CHOICE_IDENTITY_BINDING_LOSS","medina-tx","4845288","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0205","HOME_CHOICE_IDENTITY_BINDING_LOSS","kaufman-tx","4845324","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0206","HOME_CHOICE_IDENTITY_BINDING_LOSS","van-zandt-tx","4845324","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0207","HOME_CHOICE_IDENTITY_BINDING_LOSS","mclennan-tx","4845672","FIXED","home-identity-summary.json|home-browser-results.json"
"LP24449-0208","HOME_CHOICE_IDENTITY_BINDING_LOSS","rockwall-tx","4845804","FIXED","home-identity-summary.json|home-browser-results.json"
